,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
0,325.38,24,9,0.47,3,3,2,94.47,63.6,2.2,2.7,0.72,-1.74,2.52,1.28,-3.64,0.0749,0.00023,-3.69,0.0667,0.000205,-4.02,0.031,9.53e-05,1,0,1,0,0,0,0,0,-6.37,0,0,0,0,0,0.55,0,0,0,4.09
1,372.87,26,15,0.37,5,2,1,112.08,46.98,3.62,2.84,0.18,-0.32,1.72,1.61,-4.04,0.0342,9.16e-05,-3.48,0.122,0.000327,-4.87,0.00504,1.35e-05,1,0,0,0,0,1,0,0,-6.56,0,0,0,0,0,0.55,0,0,1,2.97
2,429.57,31,12,0.48,10,4,3,128.43,47.21,4.58,4.53,1.57,-3.61,4.19,2.25,-4.98,0.00446,1.04e-05,-5.24,0.00245,5.71e-06,-7.09,3.52e-05,8.2e-08,1,1,0,0,0,0,0,0,-5.7,0,0,0,0,0,0.55,0,0,3,3.82
3,132.19,9,0,0.5,2,3,4,40.11,96.05,0.74,-1.27,-5.2,-7.93,-1.74,-3.08,0.27,248.0,1.87,-0.25,74.3,0.562,0.58,501.0,3.79,0,0,0,0,0,0,0,0,-8.01,0,2,0,0,2,0.55,0,2,1,3.12
4,243.25,18,12,0.13,3,3,0,66.25,40.13,2.33,4.16,2.77,3.79,3.87,3.38,-4.26,0.0132,5.44e-05,-4.71,0.00473,1.95e-05,-5.01,0.00238,9.79e-06,1,1,0,0,0,0,0,0,-4.83,0,0,0,0,0,0.85,0,0,2,2.42
5,253.27,19,12,0.12,4,3,0,70.73,57.2,2.02,3.12,1.77,2.69,3.37,2.59,-3.58,0.0667,0.000263,-3.99,0.0259,0.000102,-4.68,0.00533,2.1e-05,1,1,0,0,0,0,0,0,-5.63,0,0,0,0,0,0.85,0,0,0,2.53
6,479.05,34,18,0.34,8,3,3,144.4,46.18,4.06,5.01,1.76,-2.79,5.54,2.72,-5.83,0.000708,1.48e-06,-5.72,0.000913,1.91e-06,-8.95,5.38e-07,1.12e-09,1,1,1,0,0,0,0,0,-5.67,0,1,0,0,1,0.55,0,0,3,3.96
7,278.41,21,12,0.3,3,0,1,92.22,4.44,3.43,5.04,2.75,0.63,4.86,3.34,-4.97,0.00301,1.08e-05,-4.87,0.00372,1.34e-05,-6.69,5.65e-05,2.03e-07,1,1,0,0,0,0,1,0,-4.42,0,0,0,0,2,0.55,1,0,1,3.44
8,150.24,11,6,0.4,3,0,1,49.89,16.61,2.39,2.07,0.81,-1.19,2.35,1.29,-2.28,0.786,0.00523,-2.05,1.35,0.00895,-3.66,0.0331,0.00022,1,0,0,1,0,0,0,0,-5.75,0,1,0,0,2,0.55,0,0,1,1.34
9,532.44,36,17,0.38,8,6,1,145.41,70.26,3.96,4.34,1.92,-0.8,3.69,2.62,-5.7,0.00107,2.01e-06,-5.53,0.00157,2.95e-06,-7.2,3.37e-05,6.34e-08,1,1,1,0,0,1,0,1,-6.47,1,2,0,0,0,0.55,1,0,3,4.49
10,821.14,34,6,0.53,15,9,8,145.61,199.89,1.86,-3.05,-1.63,-0.53,2.12,-0.25,-2.15,5.81,0.00708,-0.58,214.0,0.261,-3.41,0.318,0.000387,0,0,1,0,0,0,0,0,-13.47,3,3,2,1,4,0.17,0,1,2,4.34
11,1550.18,62,12,0.49,28,15,13,271.2,339.09,0.14,-3.41,-1.59,-1.31,5.02,-0.23,-5.6,0.00391,2.52e-06,-3.13,1.14,0.000735,-7.04,0.000142,9.14e-08,0,0,1,0,0,0,0,0,-18.18,3,4,2,1,6,0.17,0,1,2,6.55
12,307.24,20,12,0.29,2,0,1,87.25,16.61,3.34,4.78,3.83,1.02,5.02,3.6,-5.07,0.00263,8.55e-06,-4.86,0.00424,1.38e-05,-7.22,1.86e-05,6.04e-08,1,1,0,1,1,1,1,0,-4.78,0,0,0,0,1,0.55,0,0,1,3.18
13,293.36,22,14,0.33,2,2,0,87.39,39.82,2.57,2.29,3.13,1.75,2.95,2.54,-3.44,0.106,0.000363,-2.76,0.505,0.00172,-4.93,0.00348,1.19e-05,1,1,1,1,1,0,1,1,-6.46,0,0,0,0,0,0.55,0,0,0,3.13
14,314.42,23,6,0.58,2,4,2,98.86,43.02,3.0,2.67,-1.39,-4.15,2.47,0.52,-3.53,0.0922,0.000293,-3.23,0.187,0.000595,-3.76,0.055,0.000175,0,0,1,0,0,0,0,0,-6.32,0,1,0,0,0,0.55,0,0,0,2.98
15,369.46,27,11,0.6,7,5,1,106.5,81.93,3.38,3.1,2.89,3.04,3.1,3.1,-3.92,0.0441,0.000119,-4.49,0.012,3.25e-05,-5.7,0.000746,2.02e-06,1,0,1,0,1,1,0,1,-6.35,0,0,0,0,0,0.55,0,0,1,3.16
16,259.24,19,6,0.23,1,5,2,71.91,84.75,1.28,0.33,-2.09,-2.41,1.02,-0.37,-1.82,3.9,0.015,-1.67,5.5,0.0212,-3.05,0.229,0.000885,1,0,0,0,0,0,0,0,-7.65,0,1,0,0,0,0.55,0,1,0,2.21
17,349.42,24,6,0.61,2,5,0,88.41,91.88,1.78,2.54,4.03,2.74,2.16,2.65,-3.66,0.0765,0.000219,-4.12,0.0267,7.65e-05,-4.07,0.0298,8.53e-05,1,0,1,0,1,0,0,0,-6.63,0,0,0,0,0,0.56,0,2,0,3.99
18,266.31,20,12,0.29,0,2,1,80.2,50.56,2.56,2.3,1.6,-1.26,2.89,1.62,-3.38,0.11,0.000413,-3.0,0.267,0.001,-4.36,0.0116,4.36e-05,1,1,1,0,0,0,0,0,-6.29,0,0,0,0,0,0.85,0,0,0,3.49
19,534.58,39,21,0.28,6,6,3,152.03,68.17,4.42,4.11,1.75,-3.47,4.49,2.26,-5.75,0.000959,1.79e-06,-5.25,0.00302,5.65e-06,-8.46,1.85e-06,3.45e-09,1,1,1,0,0,1,0,0,-6.64,1,2,0,0,0,0.55,0,1,2,4.76
20,448.83,31,17,0.25,7,8,2,112.23,100.47,2.31,3.04,3.36,1.37,2.81,2.58,-4.48,0.0148,3.3e-05,-4.82,0.00686,1.53e-05,-6.38,0.000189,4.21e-07,1,0,1,0,1,1,1,1,-6.88,0,0,0,0,0,0.56,0,1,1,3.67
21,472.68,35,18,0.44,9,2,3,150.78,44.9,4.92,6.57,4.22,1.12,6.71,4.71,-6.7,9.51e-05,2.01e-07,-7.31,2.31e-05,4.88e-08,-9.15,3.35e-07,7.1e-10,1,1,1,0,1,0,0,0,-4.52,0,2,0,0,1,0.55,0,0,3,4.19
22,313.42,23,9,0.56,3,2,2,95.99,51.36,2.82,2.75,0.52,-1.48,1.45,1.21,-3.61,0.0774,0.000247,-3.48,0.103,0.000329,-3.71,0.0617,0.000197,1,1,1,0,0,0,0,0,-6.26,0,0,0,0,0,0.55,0,0,0,4.26
23,296.86,20,6,0.65,8,1,1,91.23,13.67,4.01,4.26,2.37,-0.15,4.87,3.07,-4.06,0.026,8.74e-05,-4.26,0.0164,5.51e-05,-5.9,0.000375,1.26e-06,1,1,0,0,0,0,1,0,-5.09,0,0,0,0,0,0.55,0,0,2,2.25
24,411.93,28,18,0.29,4,3,1,122.11,84.76,3.39,5.28,2.39,-0.22,5.04,3.17,-5.93,0.000482,1.17e-06,-6.81,6.38e-05,1.55e-07,-6.92,5e-05,1.21e-07,1,0,1,1,1,1,0,0,-5.06,0,0,0,0,1,0.56,0,0,2,3.1
25,236.33,17,6,0.46,7,1,3,72.03,59.56,2.39,0.88,-0.07,-2.16,1.29,0.47,-1.66,5.18,0.0219,-1.72,4.55,0.0193,-3.78,0.0396,0.000167,1,0,0,0,0,0,0,0,-7.12,0,0,0,0,0,0.55,0,1,1,1.49
26,205.27,15,6,0.46,4,2,0,60.24,40.13,2.31,3.5,1.74,3.13,3.15,2.77,-3.35,0.0918,0.000447,-4.03,0.0193,9.42e-05,-3.44,0.0745,0.000363,1,1,0,0,0,0,0,0,-5.07,0,0,0,0,0,0.85,0,0,1,1.88
27,280.86,19,6,0.65,5,0,1,86.41,4.44,3.59,5.43,3.32,0.78,4.85,3.59,-4.91,0.00349,1.24e-05,-5.28,0.00148,5.26e-06,-5.5,0.000898,3.2e-06,1,1,0,0,0,0,1,0,-4.16,0,0,0,0,2,0.55,0,0,1,2.61
28,514.67,37,11,0.69,9,5,2,146.8,64.25,3.88,5.15,4.67,0.47,4.78,3.79,-5.9,0.000646,1.25e-06,-6.24,0.000293,5.69e-07,-7.0,5.19e-05,1.01e-07,1,1,1,0,0,0,0,0,-5.78,1,3,0,0,1,0.55,0,0,3,5.82
29,325.42,24,10,0.45,4,3,2,100.7,46.79,3.36,2.88,1.05,-1.45,3.11,1.79,-3.72,0.0625,0.000192,-3.52,0.0977,0.0003,-4.31,0.016,4.92e-05,1,1,1,0,0,0,0,0,-6.24,0,0,0,0,0,0.55,0,1,0,4.38
30,177.26,13,6,0.5,2,1,0,55.73,23.06,2.69,3.79,4.08,3.33,3.35,3.45,-3.54,0.0516,0.000291,-3.97,0.0191,0.000108,-3.47,0.0606,0.000342,1,1,0,0,0,0,1,0,-4.69,0,0,0,0,2,0.85,0,0,2,1.1
31,351.35,25,10,0.41,3,5,1,96.34,81.98,2.2,-0.8,-0.49,-2.02,2.34,0.25,-1.61,8.58,0.0244,-0.44,127.0,0.361,-4.12,0.0266,7.57e-05,1,0,1,1,0,0,0,0,-9.01,0,1,0,0,0,0.55,0,0,1,3.11
32,380.52,28,12,0.46,6,3,2,121.26,35.18,3.52,3.25,-0.42,-4.03,4.23,1.31,-4.17,0.0259,6.79e-05,-3.66,0.0828,0.000218,-6.73,7.04e-05,1.85e-07,1,0,1,0,0,0,0,0,-6.31,0,1,0,0,0,0.55,0,0,1,3.38
33,720.92,52,12,0.57,24,7,5,203.64,159.67,4.56,4.69,0.79,-3.13,6.42,2.67,-5.85,0.00102,1.41e-06,-7.77,1.22e-05,1.69e-08,-9.51,2.21e-07,3.07e-10,0,0,1,0,0,0,0,0,-7.37,2,3,2,1,3,0.17,0,1,3,6.36
