,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,DICT _ Concern
0,O=C1C[NH+]2C3CC1CC2CC(C3)OC(=O)c1c[nH]c2c1cccc2,C19H21N2O3+,325.38,24,9,0.47,3,3,2,94.47,63.6,2.2,2.7,0.72,-1.74,2.52,1.28,-3.64,0.0749,0.00023,Soluble,-3.69,0.0667,0.000205,Soluble,-4.02,0.031,9.53e-05,Moderately soluble,1,0,1,0,0,0,0,0,-6.37,0,0,0,0,0,0.55,0,0,0,4.09,most
1,Clc1cccc(c1)N1CC[NH+](CC1)CCCn1nc2n(c1=O)cccc2,C19H23ClN5O+,372.87,26,15,0.37,5,2,1,112.08,46.98,3.62,2.84,0.18,-0.32,1.72,1.61,-4.04,0.0342,9.16e-05,Moderately soluble,-3.48,0.122,0.000327,Soluble,-4.87,0.00504,1.35e-05,Moderately soluble,1,0,0,0,0,1,0,0,-6.56,0,0,0,0,0,0.55,0,0,1,2.97,most
2,CC(COc1ccc(cc1)CNC(=O)[NH+](C1CC[NH+](CC1)C)Cc1ccc(cc1)F)C,C25H36FN3O2++,429.57,31,12,0.48,10,4,3,128.43,47.21,4.58,4.53,1.57,-3.61,4.19,2.25,-4.98,0.00446,1.04e-05,Moderately soluble,-5.24,0.00245,5.71e-06,Moderately soluble,-7.09,3.52e-05,8.2e-08,Poorly soluble,1,1,0,0,0,0,0,0,-5.7,0,0,0,0,0,0.55,0,0,3,3.82,most
3,[NH3+]C(=NC(=[NH2+])N)[NH+](C)C,C4H14N5+++,132.19,9,0,0.5,2,3,4,40.11,96.05,0.74,-1.27,-5.2,-7.93,-1.74,-3.08,0.27,248.0,1.87,Highly soluble,-0.25,74.3,0.562,Very soluble,0.58,501.0,3.79,Soluble,0,0,0,0,0,0,0,0,-8.01,0,2,0,0,2,0.55,0,2,1,3.12,most
4,[O-]C(=O)C(c1ccc(c(c1)F)c1ccccc1)C,C15H12FO2-,243.25,18,12,0.13,3,3,0,66.25,40.13,2.33,4.16,2.77,3.79,3.87,3.38,-4.26,0.0132,5.44e-05,Moderately soluble,-4.71,0.00473,1.95e-05,Moderately soluble,-5.01,0.00238,9.79e-06,Moderately soluble,1,1,0,0,0,0,0,0,-4.83,0,0,0,0,0,0.85,0,0,2,2.42,most
5,[O-]C(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,C16H13O3-,253.27,19,12,0.12,4,3,0,70.73,57.2,2.02,3.12,1.77,2.69,3.37,2.59,-3.58,0.0667,0.000263,Soluble,-3.99,0.0259,0.000102,Soluble,-4.68,0.00533,2.1e-05,Moderately soluble,1,1,0,0,0,0,0,0,-5.63,0,0,0,0,0,0.85,0,0,0,2.53,most
6,Clc1ccc(cc1)C1(O)CC[NH+](CC1)CCC(C(=O)[NH+](C)C)(c1ccccc1)c1ccccc1,C29H35ClN2O2++,479.05,34,18,0.34,8,3,3,144.4,46.18,4.06,5.01,1.76,-2.79,5.54,2.72,-5.83,0.000708,1.48e-06,Moderately soluble,-5.72,0.000913,1.91e-06,Moderately soluble,-8.95,5.38e-07,1.12e-09,Poorly soluble,1,1,1,0,0,0,0,0,-5.67,0,1,0,0,1,0.55,0,0,3,3.96,most
7,C[NH+](CCC=C1c2ccccc2CCc2c1cccc2)C,C20H24N+,278.41,21,12,0.3,3,0,1,92.22,4.44,3.43,5.04,2.75,0.63,4.86,3.34,-4.97,0.00301,1.08e-05,Moderately soluble,-4.87,0.00372,1.34e-05,Moderately soluble,-6.69,5.65e-05,2.03e-07,Poorly soluble,1,1,0,0,0,0,1,0,-4.42,0,0,0,0,2,0.55,1,0,1,3.44,most
8,CC(Cc1ccccc1)[NH2+]C,C10H16N+,150.24,11,6,0.4,3,0,1,49.89,16.61,2.39,2.07,0.81,-1.19,2.35,1.29,-2.28,0.786,0.00523,Soluble,-2.05,1.35,0.00895,Soluble,-3.66,0.0331,0.00022,Soluble,1,0,0,1,0,0,0,0,-5.75,0,1,0,0,2,0.55,0,0,1,1.34,most
9,Clc1ccc(c(c1)Cl)C1(OCC(O1)COc1ccc(cc1)N1CC[NH+](CC1)C(=O)C)Cn1cncc1,C26H29Cl2N4O4+,532.44,36,17,0.38,8,6,1,145.41,70.26,3.96,4.34,1.92,-0.8,3.69,2.62,-5.7,0.00107,2.01e-06,Moderately soluble,-5.53,0.00157,2.95e-06,Moderately soluble,-7.2,3.37e-05,6.34e-08,Poorly soluble,1,1,1,0,0,1,0,1,-6.47,1,2,0,0,0,0.55,1,0,3,4.49,most
