,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State,atc_name_1,atc_name_2,atc_name_3,atc_name_4
0,flurbiprofen,flurbiprofen,flurbiprofen,most,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)/p-1",1,Flurbiprofen,Heart Damage,bw,0.0560511492192745,0.8144097924232483,0.9883896350860596,0.0865292742848396,0.2741449147462845,0.7378433585166931,0.2470630317926407,0.0302443049848079,0.0012975349585758,0.2801136344671249,0.0026204651454463,0.4881897687911987,0.004111284809187,0.9543150782585144,0.9998334288597108,0.0019407502550166,0.0327787986025214,0.0296265034005045,0.0117824491113424,0.0096737910993397,0.2119463592767715,0.1360779508948326,0.8136821389198303,0.0099996878183446,0.0267918091267347,0.0177850762382149,0.0012367982300929,0.0037776462384499,0.0018949843011796,0.1854963541030883,0.0115430916659533,-4.2642527996440975,17.276201377027057,25.59143622943734,-21.932289979459863,-7.38200224714997,2.539729802089905,0.0602321396471254,92.186895833029,-3.454159069145516,1.3147610673835608,MUSCULO-SKELETAL SYSTEM;RESPIRATORY SYSTEM;SENSORY ORGANS,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;OPHTHALMOLOGICALS;THROAT PREPARATIONS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"ANTIINFLAMMATORY AGENTS;ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS;THROAT PREPARATIONS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Antiinflammatory agents, non-steroids;Antiinflammatory preparations, non-steroids for topical use;Other throat preparations;Propionic acid derivatives"
1,ketoprofen,ketoprofen,ketoprofen,most,CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/p-1",1,Ketoprofen,Heart Damage,bw,0.0042574523482471,0.5063201487064362,0.9590898394584656,0.0161412801593542,0.0774077117443084,0.6026883125305176,0.1028131395578384,0.0166576698422431,0.0018433789140544,0.1634778916835784,0.0013063594698905,0.2533854782581329,0.0028686473262496,0.924104142189026,0.9972925782203674,0.0033537514158524,0.0338588401675224,0.0074317159131169,0.0035088753327727,0.0095211282372474,0.2596444949507713,0.0602031402289867,0.6118586361408234,0.0124536765739321,0.0162643575109541,0.0059085253626108,0.0013830306124873,0.0039000053424388,0.0008387907641008,0.2393446564674377,0.0028042820049449,-4.2713232090853,14.339313544485126,6.009712600294347,-5.790000725783121,-9.29297170775869,2.192214188451836,-0.4654115970757158,88.31709134469314,-3.148045600445901,2.3798665372635783,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS;TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","Antiinflammatory preparations, non-steroids for topical use;Propionic acid derivatives"
2,ketoconazole,ketoconazole,ketoconazole,most,CC(=O)[NH+]1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,"InChI=1S/C26H28Cl2N4O4/c1-19(33)31-10-12-32(13-11-31)21-3-5-22(6-4-21)34-15-23-16-35-26(36-23,17-30-9-8-29-18-30)24-7-2-20(27)14-25(24)28/h2-9,14,18,23H,10-13,15-17H2,1H3/p+1",1,Ketoconazole,Arrhythmia,bw,0.2685363382101059,0.1441240016371011,0.3788057863712311,0.2735614269971848,0.9121931314468384,0.1067651256918907,0.7556535124778747,0.1351008847355842,0.7509427189826965,0.7972268104553223,0.967118227481842,0.1830479681491851,0.0336855811066925,0.7400897383689881,0.9702046036720277,0.0100950744003057,0.0161318704951554,0.4103022903203964,0.4725169241428375,0.036022600531578,0.1052468165755271,0.0586452724412083,0.6297025442123413,0.6803457498550415,0.8697991013526917,0.0130561773432418,0.1859008163213729,0.3595242142677307,0.1367344588041305,0.4098720431327819,0.9217434525489808,-5.267285728494621,35.58454086291887,42.485820396593226,-27.81117220493603,-11.081198400820792,2.97506371350988,2.392775047016866,93.19014975935866,-3.2860891493184154,3.2224592941383703,"ANTIINFECTIVES FOR SYSTEMIC USE;DERMATOLOGICALS;GENITO URINARY SYSTEM AND SEX HORMONES;SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",ANTIFUNGALS FOR DERMATOLOGICAL USE;ANTIMYCOTICS FOR SYSTEMIC USE;CORTICOSTEROIDS FOR SYSTEMIC USE;GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIADRENAL PREPARATIONS;ANTIFUNGALS FOR TOPICAL USE;ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS;ANTIMYCOTICS FOR SYSTEMIC USE",Anticorticosteroids;Imidazole and triazole derivatives;Imidazole derivatives
3,omnipaque,iohexol,iohexol,most,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,"InChI=1S/C19H26I3N3O9/c1-8(29)25(4-11(32)7-28)17-15(21)12(18(33)23-2-9(30)5-26)14(20)13(16(17)22)19(34)24-3-10(31)6-27/h9-11,26-28,30-32H,2-7H2,1H3,(H,23,33)(H,24,34)",1,Iohexol,Mixed,bw,0.1099081020802259,0.1416790693998336,0.2403117626905441,0.0062690430204384,0.0202309099957346,0.0629936039447784,0.0191709702834486,0.046157725341618,0.0629238229244947,0.3854814529418945,0.0556565104052424,0.3140124022960663,0.0340370143763721,0.1671941429376602,0.1264968432486057,0.0449472408741712,0.0487845834344625,0.0067249786516185,0.002091894345358,0.0086295114830136,0.0862346574664116,0.0012414571101544,0.1721734419465065,0.0492994390428066,0.0359546557068824,0.0010320581524865,0.0070216258522123,0.0059268637327477,0.0096878437325358,0.176881156861782,0.3924498260021209,-5.823325189465398,3.303638508722243,14.630280949247853,6.119342106859688,-14.089819156197578,1.7760929149565587,-0.2786932887485487,57.76076461141749,-1.0155614345664314,-0.6470747230136848,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED","Watersoluble, nephrotropic, low osmolar X-ray contrast media"
4,visipaque,iodixanol,iodixanol,most,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,"InChI=1S/C35H44I6N6O15/c1-13(52)46(30-26(38)20(32(59)42-3-15(54)9-48)24(36)21(27(30)39)33(60)43-4-16(55)10-49)7-19(58)8-47(14(2)53)31-28(40)22(34(61)44-5-17(56)11-50)25(37)23(29(31)41)35(62)45-6-18(57)12-51/h15-19,48-51,54-58H,3-12H2,1-2H3,(H,42,59)(H,43,60)(H,44,61)(H,45,62)",1,Iodixanol,Mixed,bw,0.0757766429334878,0.1227945610880851,0.2417455732822418,0.0028893894894281,0.017108862940222,0.063530258461833,0.019348655687645,0.0451035255566239,0.0675996432080865,0.5503421664237976,0.084822567179799,0.2607945919036865,0.0278994610533118,0.248116797208786,0.1021894015371799,0.0228760404512286,0.0365305751562118,0.0035339055699296,0.0011077027767896,0.0033576356014236,0.0492316961288452,0.0008532811814802,0.1569333180785179,0.0581233441829681,0.024992211908102,0.0007462173205567,0.0032938850868958,0.0052206176216714,0.0066449536476284,0.1119041942059993,0.541856586933136,-5.6580780093076335,-17.32930235281103,17.788754729235137,109.796656094959,-14.29943070092296,2.0961490153363407,-0.2681098931484412,60.38728635655366,-1.2479557764266094,-0.7082947274647353,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED","Watersoluble, nephrotropic, low osmolar X-ray contrast media"
5,sertraline,sertraline,sertraline hydrochloride,most,C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/p+1",1,Sertraline,Arrhythmia,wp,0.0531794365495443,0.9231932520866394,0.8403810381889343,0.8171025276184082,0.572120749950409,0.2909669280052185,0.0561496332287788,0.6601293981075287,0.9217450022697448,0.7171007215976715,0.3336423620581626,0.0979324273765087,0.0021391295129433,0.0857118792831897,0.998110830783844,0.002568777045235,0.0126559262163937,0.2007592499256134,0.23100546002388,0.0968976616859436,0.2457538515329361,0.0024109631980536,0.9483792185783386,0.2158311754465103,0.1303497299551964,0.0012509724241681,0.0309583629015833,0.7363853573799133,0.0142573321703821,0.757529079914093,0.9001338720321655,-4.873065014311472,76.70835022022308,28.150938007121614,28.607765056937616,-6.9434298156186,3.310707933004666,2.712099454305671,86.82181955130974,-4.576635082851995,21.86807923778369,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,Selective serotonin reuptake inhibitors
6,ondansetron,ondansetron,ondansetron hydrochloride,most,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,"InChI=1S/C18H19N3O/c1-12-19-9-10-21(12)11-13-7-8-16-17(18(13)22)14-5-3-4-6-15(14)20(16)2/h3-6,9-10,13H,7-8,11H2,1-2H3",1,Ondansetron,Arrhythmia,wp,0.6932569146156311,0.9918163418769836,0.9211130023002624,0.8500489950180053,0.5851952910423279,0.5066412270069123,0.1277566738426685,0.5821727812290192,0.7400703430175781,0.8050288677215576,0.8484123587608338,0.040345549955964,0.2628321796655655,0.3853941291570663,0.99999737739563,0.0203989577013999,0.0273713331669569,0.5555933475494385,0.2205318927764892,0.0171475814655423,0.0787383634597063,0.0066570514813065,0.979223120212555,0.8165587067604065,0.2677078068256378,0.0234161026775836,0.0404065096750855,0.0371324805542826,0.0133049431256949,0.4555206358432769,0.7869835615158081,-4.788094385176159,32.97483099317051,20.63861574381362,1.3656320875991164,-9.32533869432262,2.492181193295223,1.8014880547909795,63.35367716541987,-1.917557214011724,-4.770555447468467,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
7,praziquantel,praziquantel,praziquantel,most,O=C(C1CCCCC1)[NH+]1CC(=O)[NH+]2CCc3ccccc3C2C1,"InChI=1S/C19H24N2O2/c22-18-13-20(19(23)15-7-2-1-3-8-15)12-17-16-9-5-4-6-14(16)10-11-21(17)18/h4-6,9,15,17H,1-3,7-8,10-13H2/p+2",1,Praziquantel,Arrhythmia,wp,0.1125808909535408,0.7156448900699616,0.2634871944785118,0.0128777306061238,0.1366058369167149,0.3329917468130589,0.0132041361386654,0.5092569828033447,0.0967532277107238,0.7016741871833801,0.0633897769264876,0.0357321807183325,0.0034238701249705,0.1057214749976992,0.6108306393027305,0.0328956563025713,0.0743811428546905,0.0241089448332786,0.0153041797690093,0.0305602139793336,0.3021348595619201,0.00213184574568,0.5218989968299865,0.0840800405479967,0.1894187152385711,0.0054492244613356,0.007532059442019,0.0311202082782983,0.0111521288868971,0.6660142421722413,0.4575425744056701,-4.982904102993712,49.25962910326253,35.95612583407246,-18.282731512804123,-9.2203133024245,2.733295906605904,1.83143094515464,65.53821484845737,-2.5581271360621907,5.863317641232111,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,Quinoline derivatives and related substances
8,cilostazol,cilostazol,cilostazol,most,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,"InChI=1S/C20H27N5O2/c26-20-12-9-15-14-17(10-11-18(15)21-20)27-13-5-4-8-19-22-23-24-25(19)16-6-2-1-3-7-16/h10-11,14,16H,1-9,12-13H2,(H,21,26)",1,Cilostazol,Mixed,wp,0.6428141415119171,0.9585274934768676,0.891150426864624,0.165581639111042,0.830184257030487,0.1690424442291259,0.3904157549142837,0.1698458582162857,0.2673731453716755,0.8398657202720642,0.8540888547897338,0.1469117656350135,0.2613549411296844,0.64925457239151,0.99994637966156,0.0076846021460369,0.0333298500627279,0.0596538237296044,0.0726962111890316,0.0242458036169409,0.1734180852770805,0.0541612898930907,0.9147895932197572,0.7829505443572998,0.6761696398258209,0.0571259640157222,0.0666793171316385,0.1843943133950233,0.1219931423664093,0.3778491675853729,0.3134311452507973,-5.1924425271869765,78.41268215025003,79.03589593440309,-4.451358901551018,-8.167648323656026,2.939755208671021,2.605583029988836,94.06637669927274,-3.2186864619012305,0.288150533224529,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin
9,thalomid,thalidomide,thalidomide,most,O=C1CCC([NH+]2C(=O)c3ccccc3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/p+1",1,Thalidomide,Mixed,wp,0.1151621710509061,0.7940812110900879,0.7093425452709198,0.0197831666097044,0.0058861484285444,0.1602316305041313,0.0030125529621727,0.0452350176870822,0.0005425724655651,0.2035854153335094,0.0006586521922145,0.0941781222820282,0.0097556059714406,0.9172988295555116,0.8188847303390503,0.0123507961630821,0.0288281070068478,0.0077348355669528,0.0056703083682805,0.0037348285724874,0.0751697778701782,0.0014881143230013,0.1704306453466415,0.0037651010323315,0.0304993918165564,0.0034264675574377,0.006346860108897,0.0103165379958227,0.0393028538674116,0.7427643060684204,0.0349106283858418,-5.204574676534118,-14.551540148007012,-19.71278410040274,13.348338136314457,-14.823260351128102,2.324891710222452,-1.5348092159110702,53.42969851061273,-2.3062212972085634,3.9584106040737823,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Other immunosuppressants
