,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State,atc_name_1,atc_name_2,atc_name_3,atc_name_4
0,lamivudine,lamivudine,lamivudine,no,N=c1ccn(C2CSC(CO)O2)c(=O)[n-]1,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/p-1",0,Lamivudine,,no,0.3805597603321075,0.7086838960647583,0.8842883110046387,0.0010614056875056,0.0081393426517024,0.0893519334495067,0.0015163871066761,0.0268198885954916,0.0006212081192643,0.0950678840279579,0.0001331369564923,0.0569290433079004,0.0709614519029855,0.8163829565048217,0.9566375732421876,0.0058023465797305,0.0042359636630862,0.0059458307456225,0.0022084586787968,0.0067879591370001,0.0934770405292511,0.0017083833721699,0.0628936696797609,0.0046842513605952,0.0224760664626956,0.0017186190860229,0.0127391080372035,0.0014229222411813,0.0398175867274403,0.4465593576431274,0.0051968260842841,-5.396802507509442,4.128878957554343,-35.69391442192731,13.827467409023868,-17.228562523348963,1.6249781247753363,-1.231955932232341,18.77324533361484,-1.283703794209567,-0.8034596399752907,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations;Nucleoside and nucleotide reverse transcriptase inhibitors"
1,streptomycin,streptomycin,streptomycin sulfate,no,C[NH2+]C1C(OC2C(OC3C(O)C(O)C([NH+]=C(N)N)C(O)C3[NH+]=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,"InChI=1S/C21H39N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h4-18,26,29,31-36H,3H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/p+3",0,Streptomycin,,no,0.1921951457858085,0.0040653676027432,0.0344336241483688,3.875977111533757e-05,0.0015654087648727,0.0022653347317827,5.8360057801110087e-05,0.0151123278774321,0.0134481476736255,0.1657705277204513,0.0004089528825716,0.0107077561086043,0.0007044165227853,0.0247725259047001,0.0004326699299781,0.0267176898196339,0.116501460969448,0.000143220960308,0.000758225176105,0.100770120229572,0.3292559176683426,0.0001736083693685,0.0143948203418403,0.0031354813370853,0.0294126115739345,0.002093397770659,0.0006311225974059,0.0008365507426788,0.0041362742893397,0.4072607934474945,0.07568836286664,-7.783061499520817,23.777372101849263,7.509586515681804,-22.911947178507493,-19.02032235761325,1.83321943954437,-1.756550642967064,6.88397658762239,-0.48272580813221,3.537754124165569,ALIMENTARY TRACT AND METABOLISM;ANTIINFECTIVES FOR SYSTEMIC USE,"ANTIBACTERIALS FOR SYSTEMIC USE;ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;ANTIMYCOBACTERIALS",AMINOGLYCOSIDE ANTIBACTERIALS;DRUGS FOR TREATMENT OF TUBERCULOSIS;INTESTINAL ANTIINFECTIVES,Antibiotics;Combinations of drugs for treatment of tuberculosis;Streptomycins
2,emtricitabine,emtricitabine,emtricitabine,no,N=c1[n-]c(=O)n(C2CSC(CO)O2)cc1F,"InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)/p-1",0,Emtricitabine,,no,0.6305021107196808,0.8301475763320922,0.9485764384269716,0.0047671250009443,0.0123615310993045,0.1495719581842422,0.0043366525729652,0.0221809761598706,0.0004742031520436,0.1475909143686294,0.0002464520871399,0.1388654470443725,0.0930381767451763,0.9425602555274964,0.99179505109787,0.0072124624217394,0.0045488180359825,0.0057711126748472,0.0074711778666824,0.0084259538445621,0.0740037582814693,0.0043413719628006,0.1953789755702018,0.0059708595217671,0.0343011021614074,0.0041281884652562,0.0097993156407028,0.0018961753943585,0.0820668563246727,0.4290854513645172,0.0112140147364698,-5.190212394942904,17.361112120972635,-26.253215561583545,21.459797425135285,-17.27595830646937,2.2688318954696967,-0.4534343977566453,24.343231605452168,-1.1199597271719368,5.52611275453876,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations;Nucleoside and nucleotide reverse transcriptase inhibitors"
3,entecavir,entecavir,entecavir,no,C=C1C(CO)C(O)CC1n1cnc2c(=O)[n-]c(=N)[n-]c21,"InChI=1S/C12H14N5O3/c1-5-6(3-18)8(19)2-7(5)17-4-14-9-10(17)15-12(13)16-11(9)20/h4,6-8,18-19H,1-3H2,(H2-,13,15,16,20)/q-1/p-1",0,Entecavir,,no,0.2008640810847282,0.3540633589029312,0.7403488516807556,0.0055423546320525,0.0026223522421787,0.1441947668790817,0.0033364739443641,0.0323964809998869,0.0033773869712604,0.0737468428909778,0.000649709699519,0.1033143185079097,0.1268205903470516,0.8575657486915589,0.9884189367294312,0.0070258158026263,0.006124088843353,0.0389151033014059,0.0030894314157194,0.0024109903315547,0.0300706677138805,0.0011570445596589,0.0258412152528762,0.0103244808502495,0.030702562816441,0.0064055225346237,0.0117230521980673,0.0125502746668644,0.0498199744150042,0.2373743295669555,0.03141784761101,-6.046502670834302,-15.311118662958233,-37.43136424672046,26.55189216010641,-17.25040472473987,1.8931811620307832,-1.5714194420680134,35.46109987081191,-1.6994804214489907,-3.3503670224095217,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors
4,isoniazid,isoniazid,isoniazid,no,N[N-]C(=O)c1ccncc1,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,(H3,7,8,9,10)/p-1",0,Isoniazid,,no,0.4468687653541565,0.737345552444458,0.9129848837852478,0.5539860665798187,0.2004240468144416,0.0646823227405548,0.1664076134562492,0.0739408768713474,0.1482845790684223,0.0804848030209541,0.7015501737594605,0.054072044044733,0.0181453874800354,0.4810440599918365,0.9999940395355223,0.0009183185087749,0.0010377781960414,0.6595340251922608,0.0217527838423848,0.0022594951558858,0.011293993180152,0.0006980112986639,0.5740997850894928,0.0041442366084083,0.0180476298555731,0.0023610843898495,0.0497774673625826,0.0088036515982821,0.0035738282254897,0.7523103713989258,0.0317757098004221,-4.573533203121099,1.7820318243430748,0.3883214977490034,5.813273659295795,-11.787485272850448,2.4448674103017787,-0.4462522462234258,28.94105719559777,-0.4599148473307258,-8.366617588964527,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Combinations of drugs for treatment of tuberculosis;Hydrazides
5,zontivity,vorapaxar,vorapaxar sulfate,no,CCOC(=O)NC1CCC2C(C1)CC1C(=O)OC(C)C1C2C=Cc1ccc(-c2cccc(F)c2)cn1,"InChI=1S/C29H33FN2O4/c1-3-35-29(34)32-23-10-11-24-20(14-23)15-26-27(17(2)36-28(26)33)25(24)12-9-22-8-7-19(16-31-22)18-5-4-6-21(30)13-18/h4-9,12-13,16-17,20,23-27H,3,10-11,14-15H2,1-2H3,(H,32,34)",0,Vorapaxar,,CLINICAL PHARMACOLOGY,0.4388007640838623,0.873017418384552,0.8828019022941589,0.1601958498358726,0.8758798718452454,0.1970526903867721,0.8027297019958496,0.0603390906006097,0.0549815060570836,0.8162643432617187,0.9750353455543518,0.1703016683459282,0.3930224597454071,0.78770592212677,0.9999735116958618,0.014378473162651,0.0467843007296323,0.1074982032179832,0.1595910161733627,0.0383582267910242,0.2257371142506599,0.0529522754251956,0.9693401336669922,0.9118955373764038,0.773213791847229,0.0910191744565963,0.2169465065002441,0.5271267771720887,0.1354152388870716,0.3270950317382812,0.676247525215149,-4.970930080625811,77.59830631562738,77.1138184975155,-2.111453818045681,-7.38155293312867,3.74946775379765,4.5992964373831215,102.89603749008536,-4.835214995797264,2.0493449210756567,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin
6,cefixime,cefixime,cefixime,no,C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C([NH2+]OCC(=O)[O-])c3csc(=N)[n-]3)C2SC1,"InChI=1S/C16H15N5O7S2/c1-2-6-4-29-14-10(13(25)21(14)11(6)15(26)27)19-12(24)9(20-28-3-8(22)23)7-5-30-16(17)18-7/h2,5,9,14,20H,1,3-4H2,(H4,17,18,22,23,26,27)/p-1",0,Cefixime,,no,0.1976871032267809,0.0445681086741387,0.2483155876398086,0.008649698481895,0.0328014359809458,0.0927324492484331,0.005502630432602,0.0160691259428858,0.0151418518740683,0.1015756964683532,0.0158111991826444,0.0558651141822338,0.0056740111904218,0.902425229549408,0.0229498927481472,0.0127865180373191,0.0133880019187927,0.0064364849647972,0.0024178738618502,0.0423328060656785,0.0870064131915569,0.004588613891974,0.0215087046381086,0.0203908994793891,0.2269206687808037,0.0180993753718212,0.0077552949544042,0.002514640254958,0.0217340819537639,0.8068376183509827,0.0189371576998382,-6.919132884333187,-6.393627362877507,13.588047500664334,-18.16052477654781,-15.608966267272695,1.5246576482613798,-2.774085196296774,53.76882788244982,-2.7851589018259064,-7.411398015950081,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,COMBINATIONS OF ANTIBACTERIALS;OTHER BETA-LACTAM ANTIBACTERIALS,Combinations of antibacterials;Third-generation cephalosporins
7,folic acid,folic acid,folic acid,no,N=c1[n-]c(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc3)cnc2[n-]1,"InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12H,5-7H2,(H7,20,21,22,24,25,26,27,28,29,30,31,32)/p-4",0,Folic acid,,no,0.2964818507432937,0.5274913728237152,0.708902794122696,0.0091517376713454,0.0078172649722546,0.1936010614037513,0.017130206793081,0.0169831265229731,0.0227015771437436,0.120630994439125,0.0098406550707295,0.2308122470974922,0.347634470462799,0.954432499408722,0.2385867163538932,0.0152352735400199,0.020786109752953,0.0226171564310789,0.0081296950578689,0.0132897783070802,0.1433225162327289,0.0041040459880605,0.0517052134498953,0.0278098542243242,0.0697902545332908,0.0175240790471434,0.0072113239904865,0.0111004907172173,0.089179777726531,0.2936732515692711,0.1407790534198284,-6.7025808499508015,-12.30713929829762,-21.19100678606717,91.8367058115626,-16.29654927783774,2.075958838374649,-2.824719915975869,57.046650216702346,-2.9980740313772216,3.0690703524304213,BLOOD AND BLOOD FORMING ORGANS;VARIOUS,ANTIANEMIC PREPARATIONS;DIAGNOSTIC AGENTS,IRON PREPARATIONS;OTHER DIAGNOSTIC AGENTS;VITAMIN B12 AND FOLIC ACID,Folic acid and derivatives;Iron in other combinations;Other diagnostic agents
8,khapzory,levoleucovorin,levoleucovorin disodium,no,N=c1[n-]c2c(c(=O)[n-]1)[NH+](C=O)C(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)CN2,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13H,5-8H2,(H8,21,22,23,24,25,26,29,30,31,32,33,34)/p-3",0,Levoleucovorin,,no,0.198568719625473,0.2209394246339798,0.253389273583889,0.0007047784398309,0.0023744742793496,0.070120920240879,0.0027104684268124,0.0126105909235775,0.0376705498434603,0.1342030391097068,0.002230249234708,0.0824318446218967,0.028827008139342,0.6946924030780792,0.0073151075281202,0.0288578333333134,0.0660388149321079,0.0045222715241834,0.0018206740845926,0.021473660133779,0.2180876940488815,0.0006286347808782,0.0111067252233624,0.0096482976339757,0.0250857330858707,0.0032187852310016,0.0030014165793545,0.0022682742128381,0.024761325540021,0.3030114263296127,0.0967043459415435,-7.055909799292481,-2.5897004105966133,-14.519474577926768,37.59831600910751,-16.28078427615529,2.651786743077904,-3.427925350143699,44.278209199778914,-2.348742785619588,4.895243427894619,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Detoxifying agents for antineoplastic treatment
9,dalfampridine,dalfampridine,dalfampridine,no,N=c1cc[n-]cc1,"InChI=1S/C5H5N2/c6-5-1-3-7-4-2-5/h1-4H,(H-,6,7)/q-1",0,Dalfampridine,,CLINICAL PHARMACOLOGY,0.0648111276328563,0.3052661255002021,0.8660373210906982,0.053387117688544,0.0877466153353452,0.0707384068518877,0.0470924127846956,0.0331867525354027,0.1443818137049675,0.0344194589066319,0.1610297567211091,0.0464394249953329,0.0371954952002852,0.5297274351119995,0.9989445567131042,0.0027328790718456,0.0041217760386643,0.0728395560756325,0.0128009973559528,0.0037892966298386,0.0099401327781379,0.0003206793502613,0.1251444324851036,0.0016459153877804,0.0355801999568939,0.0028430882186512,0.0111362323164939,0.0131708275759592,0.0107420631218701,0.6686066269874573,0.0274025162681937,-5.142040934036201,10.767950539987552,-7.973812488187437,17.09517042999866,-10.078593078797407,1.624445732992522,-1.2496785909219994,1.5018373556196878,0.5816009898068266,-9.148647035374758,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,Other nervous system drugs
