,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State,atc_name_1,atc_name_2,atc_name_3,atc_name_4
0,,terfenadine,terfenadine,most,CC(C)(C)c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3/p+1",1,Terfenadine,Arrhythmia,Withdraw,0.0112836375366896,0.1809731729328632,0.2936777517199516,0.0104485120158642,0.0206861845450475,0.067877060174942,0.0105649761972017,0.5137606382369995,0.8823698282241821,0.6020148515701294,0.0926129460334777,0.0619485553354024,0.0036565035115927,0.0129763310309499,0.5745070800185204,0.004894028417766,0.0051246656104922,0.0107492352835834,0.0175275546964257,0.0118106234818696,0.1097829550504684,0.0006260201036639,0.6871536016464234,0.8912559628486634,0.0985257804393768,8.603214046161156e-05,0.0441864904016256,0.1161393381655216,0.0011281400627922,0.5735566347837449,0.9611151814460754,-5.643061024723654,39.81461003995936,46.22668203637302,-1.5759890215660337,-7.819861909405023,2.797321928549583,2.847589779320816,92.2296588050058,-4.483243366810156,3.947323961592427,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Other antihistamines for systemic use
1,,sibutramine,sibutramine,most,CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1,"InChI=1S/C17H26ClN/c1-13(2)12-16(19(3)4)17(10-5-11-17)14-6-8-15(18)9-7-14/h6-9,13,16H,5,10-12H2,1-4H3/p+1",1,Sibutramine,Heart Damage,Withdraw,0.0077903669327497,0.8997412919998169,0.7966413974761963,0.0990950478240847,0.199993497133255,0.3044293791055679,0.0020105848787352,0.5311040759086609,0.8364283800125122,0.7941566586494446,0.2731202930212021,0.0575192257761955,0.0015689859865233,0.0100574766751378,0.992660903930664,9.826945470194914e-05,0.0024892513873055,0.0082921010442078,0.036546080186963,0.024354282207787,0.0692107137292623,0.0001729320950516,0.95763258934021,0.0350088972598314,0.0495570845436304,7.745038092252799e-05,0.0082485284423455,0.1417804524302482,0.0004189161107206,0.8131236672401428,0.6097328722476959,-4.431725772223782,70.97735949746003,13.51497181971238,30.13762430484477,-5.3886953233973145,3.064088443522225,2.0982020085904445,65.95500798350211,-3.4723598398019506,17.58706446615449,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products
2,,probucol,probucol,most,CC(C)(Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1,"InChI=1S/C31H48O2S2/c1-27(2,3)21-15-19(16-22(25(21)32)28(4,5)6)34-31(13,14)35-20-17-23(29(7,8)9)26(33)24(18-20)30(10,11)12/h15-18,32-33H,1-14H3/p-2",1,Probucol,Arrhythmia,Withdraw,0.0008013562877749,0.4089588910341263,0.3586093358695507,0.0144321149215102,0.1717673912644386,0.2733968138694763,0.0457572975195944,0.0669994368217885,0.0107626073528081,0.9294410347938538,0.1443697715178132,0.7089638531208038,0.0005181699118111,0.3786123514175415,0.9991159558296204,3.2713053815314194e-05,0.0001201725272949,0.0026661739335395,0.0156537187751382,0.0107126280665397,0.016244500176981,0.0071331347891828,0.9582125663757324,0.6231654107570648,0.1924036979675293,2.1159182688279545e-05,0.1194650419056415,0.4121351897716522,0.0022825290448963,0.5729284405708313,0.6256057143211364,-4.696995391060836,60.128213182656886,110.67676168603292,49.98828306355957,-1.667339754364778,2.20607358322354,5.5372710355617984,111.42542029971146,-7.547476694594853,-0.2827657755267644,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Other lipid modifying agents
3,,phentermine,phentermine,most,CC(C)([NH3+])Cc1ccccc1,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3/p+1",1,Phentermine,Heart Damage,Withdraw,0.0067157394485548,0.9437402725219728,0.6700852155685425,0.007327642844757,0.027506949706003,0.0941536217927932,0.0005309108833898,0.491280996799469,0.2403425872325897,0.3002913117408752,0.0006680183019852,0.1087546400725841,0.0001584734718562,0.001754054237972,0.9741220474243164,3.3708138198562664e-05,0.0009500204934738,0.0009366761165438,0.0005281816753267,0.006564122159034,0.1505552284419536,2.689480737565475e-05,0.9095522165298462,0.0019170851679518,0.0029661782551556,5.326888334877822e-06,0.001035305204823,0.0031329486489994,2.1073274470495563e-05,0.9442301273345948,0.2653050065040588,-4.112936825330941,55.03021467134067,20.03000802854003,-15.930563634102125,-5.381513777241347,2.165820180709786,1.0316694976228586,43.427204796464025,-1.294892672058772,-2.2817148316986904,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products
4,,sparfloxacin,sparfloxacin,most,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)CC(C)[NH2+]1,"InChI=1S/C19H22F2N4O3/c1-8-5-24(6-9(2)23-8)17-13(20)15(22)12-16(14(17)21)25(10-3-4-10)7-11(18(12)26)19(27)28/h7-10,23H,3-6,22H2,1-2H3,(H,27,28)",1,Sparfloxacin,Arrhythmia,Withdraw,0.5372728705406189,0.1308954790234565,0.7510369062423706,0.0004785902405274,0.0034481746552046,0.0155220252461731,0.0036658577388152,0.0088640897534787,0.0100562151521444,0.1455056585371494,0.0108503819443285,0.2414392799139023,0.0064681513933464,0.8401521444320679,0.4505508840084076,0.1262657217681408,0.3383633643388748,0.0260626446455717,0.0429171487689018,0.0223941315896809,0.1405260801315307,0.0012188640350359,0.0848977915942668,0.0044589322060346,0.0449269266799092,0.0108030724804848,0.0015463046962395,0.0094873674679547,0.011902154260315,0.2772071033716202,0.1391200333833694,-5.299011778544958,-10.273036293528047,12.353951744283568,-42.3863773067165,-12.030475554971606,2.233695442250643,-0.9897100986011482,46.80766580749306,-2.9664355559991096,3.409676325173849,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones
5,,grepafloxacin,grepafloxacin,most,Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,"InChI=1S/C19H22FN3O3/c1-10-8-22(6-5-21-10)15-7-14-16(11(2)17(15)20)18(24)13(19(25)26)9-23(14)12-3-4-12/h7,9-10,12,21H,3-6,8H2,1-2H3,(H,25,26)",1,Grepafloxacin,Arrhythmia,Withdraw,0.6328488349914551,0.20319794267416,0.8414742231369019,0.00203845576616,0.0030828328104689,0.0250795565545558,0.0019446752092335,0.0216961186379194,0.0107393815182149,0.1378875076770782,0.0112618693150579,0.1825688451528549,0.00334548947867,0.807530152797699,0.8580156803131104,0.1160762429237365,0.2978330165147781,0.0273502856492996,0.0348076160997152,0.0153747290372848,0.1623695313930511,0.0019982766738394,0.1532086536288261,0.0151072574779391,0.0380686979740858,0.0116462275385856,0.0017248067539185,0.0082987286383286,0.0066543483408167,0.2359399273991584,0.0949580878019333,-5.114396777332075,14.246563733899944,16.945512293543874,-23.86125221984401,-11.937604402443768,2.103556004918862,-0.9610398054298642,50.09122841416959,-3.080097001282398,-0.4407407502888595,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones
6,,etoricoxib,etoricoxib,most,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3",1,Etoricoxib,Heart Damage,Withdraw,0.1294198624789714,0.8784817457199097,0.9527098298072816,0.8051114439964294,0.6994561791419983,0.6282093465328217,0.2008504673838615,0.2579169660806656,0.0654353093355894,0.7288668632507325,0.7728928923606873,0.397493451833725,0.2771210342645645,0.9359428286552428,0.9996583938598632,0.0253651585429906,0.0222180316224694,0.0948778893798589,0.1213533297181129,0.0339450918138027,0.0676307022571563,0.0291779205203056,0.9775277614593506,0.4307547867298126,0.2478562697768211,0.0161014423705637,0.0355229180306196,0.060801799967885,0.0200027639046311,0.1543528571724891,0.3117253988981247,-4.831167665259354,18.21711866426096,21.454320990835143,23.087668382743946,-8.538787607743167,2.138351036101433,2.5024642556797816,91.55532703263552,-4.741713532897999,-0.3182346324019567,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Coxibs
7,,tegaserod,tegaserod,most,CCCCC[NH+]=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,"InChI=1S/C16H23N5O/c1-3-4-5-8-18-16(17)21-20-11-12-10-19-15-7-6-13(22-2)9-14(12)15/h6-7,9-11,19H,3-5,8H2,1-2H3,(H3,17,18,21)/p+1",1,Tegaserod,,sp,0.9017343282699584,0.6215284883975982,0.8084343194961547,0.9330597400665284,0.3295662075281143,0.0580928325653076,0.0579605167731642,0.7853053450584412,0.6388926595449448,0.4362362414598465,0.4830020546913147,0.1675608269870281,0.0812470291741192,0.4384815573692321,0.9995341062545776,0.0066807746887207,0.0156886203214526,0.951772713661194,0.0727486765012145,0.0957033969461917,0.1203652754426002,0.0055403182399459,0.8568913340568542,0.2268122017383575,0.1422364562749862,0.2720560237765312,0.1048928126692771,0.2915359303355217,0.2421116113662719,0.6673241436481476,0.7430926978588104,-5.369237278403291,14.392958626114602,-0.6544944880272731,-22.50940237239424,-11.598782120876134,3.0083699161445443,1.1663763407919123,77.36142183221955,-3.065325940390514,10.488404857928698,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
8,,dexfenfluramine,dexfenfluramine,most,CC[NH2+]C(C)Cc1cccc(C(F)(F)F)c1,"InChI=1S/C12H16F3N/c1-3-16-9(2)7-10-5-4-6-11(8-10)12(13,14)15/h4-6,8-9,16H,3,7H2,1-2H3/p+1",1,Dexfenfluramine,Heart Damage,Withdraw,0.0154479790478944,0.9703799605369569,0.8663139462471008,0.398514574766159,0.0319050726946443,0.1595027148723602,0.0002289130175995,0.7528031587600708,0.7567662596702576,0.2622572034597397,0.0310570450499653,0.3206067502498627,0.0017088514665374,0.0088053478626534,0.9983878374099732,0.0010760414181277,0.0142104230821132,0.0031677737482823,0.0018053602296276,0.0026460809865966,0.0665074240416288,2.4240393406671502e-05,0.9240350008010864,0.0503033133223652,0.0032520939595997,4.672814875448239e-05,0.0001389662980727,0.0032195008010603,0.0001081264171261,0.5764674454927444,0.6499358594417572,-4.4015338083270885,32.54215450573798,9.27564343041235,-8.79541740661737,-5.927407749992197,2.889828208235389,1.2947798621980215,47.34114771871971,-1.164645738648768,7.782638345389661,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products
9,,lidoflazine,lidoflazine,most,Cc1cccc(C)c1NC(=O)C[NH+]1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"InChI=1S/C30H35F2N3O/c1-22-5-3-6-23(2)30(22)33-29(36)21-35-19-17-34(18-20-35)16-4-7-28(24-8-12-26(31)13-9-24)25-10-14-27(32)15-11-25/h3,5-6,8-15,28H,4,7,16-21H2,1-2H3,(H,33,36)/p+2",1,Lidoflazine,Arrhythmia,Withdraw,0.0620723992586135,0.3367419257760048,0.4201611280441284,0.0383625415153801,0.1811432860791683,0.1586308948695659,0.0829436514526605,0.4369223415851593,0.9469671845436096,0.6276973366737366,0.4405048877000809,0.4303572058677673,0.0109699534717947,0.108254399523139,0.4444695711135864,0.0126222666352987,0.01767951361835,0.0047133597079664,0.0278065150603652,0.0068793346639722,0.0497373312711715,0.0025551728696882,0.5862476229667664,0.8489173173904419,0.1344387799501419,0.0002226121498097,0.0103475636336952,0.101549819111824,0.002281658258289,0.6337592124938964,0.9932178020477296,-5.88803708807081,28.7795048289485,10.645453810691572,37.35292983560661,-7.901566278027246,2.972419356170256,1.8212746201497911,88.52508730945297,-2.2367738909511763,13.52660460650084,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
